minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],29,-47,-42
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],25,-46,-42
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],28,-46,-42
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],26,-43,-42
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],29,-47,-41
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],25,-46,-41
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],28,-46,-41
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],29,-46,-41
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],29,-44,-41
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],26,-43,-41
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],27,-43,-41
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],28,-43,-41
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],27,-42,-41
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],28,-41,-41
minecraft:azalea_leaves[distance=7;persistent=true;waterlogged=false],28,-40,-41
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],27,-38,-41
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],28,-38,-41
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],27,-37,-41
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],27,-35,-41
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],28,-48,-40
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],25,-46,-40
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],29,-46,-40
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],28,-45,-40
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],25,-44,-40
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],28,-44,-40
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],29,-44,-40
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],25,-43,-40
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],26,-43,-40
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],28,-43,-40
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],29,-43,-40
minecraft:tuff_wall[east=low;west=none;waterlogged=false;south=none;up=true;north=none],27,-42,-40
minecraft:spruce_fence_gate[facing=south;in_wall=true;open=false;powered=false],28,-42,-40
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],26,-41,-40
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],28,-41,-40
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],28,-40,-40
minecraft:tuff_wall[east=none;west=none;waterlogged=false;south=none;up=true;north=none],27,-38,-40
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],28,-38,-40
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],26,-37,-40
minecraft:tuff_wall[east=none;west=none;waterlogged=false;south=none;up=true;north=none],27,-37,-40
minecraft:azalea_leaves[distance=7;persistent=true;waterlogged=false],28,-37,-40
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],26,-36,-40
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],27,-35,-40
minecraft:azalea_leaves[distance=7;persistent=true;waterlogged=false],27,-34,-40
minecraft:azalea_leaves[distance=7;persistent=true;waterlogged=false],27,-33,-40
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],26,-48,-39
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],27,-48,-39
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],25,-47,-39
minecraft:birch_leaves[distance=7;persistent=true;waterlogged=false],28,-47,-39
